"Points : 0", "Points : 1", "Points : 2","i", "j", "k","active : 0", "active : 1", "active : 2"
-2.55, -0.3183, -0.697829, 0, 0, 0, 0, 0, 0
-2.55, -0.286594, -0.579503, 1, 0, 0, 0, 0, 0
-2.55, -0.254889, -0.461177, 2, 0, 0, 0, 0, 0
-2.55, -0.223184, -0.342851, 3, 0, 0, 0, 0, 0
-2.55, -0.191478, -0.224525, 4, 0, 0, 0, 0, 0
-2.55, -0.245855, -0.71724, 0, 1, 0, 0, 0, 0
-2.55, -0.21415, -0.598914, 1, 1, 0, 0, 0, 0
-2.55, -0.182444, -0.480589, 2, 1, 0, 0, 0, 0
-2.55, -0.150739, -0.362263, 3, 1, 0, 0, 0, 0
-2.55, -0.119034, -0.243937, 4, 1, 0, 0, 0, 0
-2.55, -0.173411, -0.736652, 0, 2, 0, 0, 0, 0
-2.55, -0.141705, -0.618326, 1, 2, 0, 0, 0, 0
-2.55, -0.11, -0.5, 2, 2, 0, 0, 0, 0
-2.55, -0.0782947, -0.381674, 3, 2, 0, 0, 0, 0
-2.55, -0.0465893, -0.263348, 4, 2, 0, 0, 0, 0
-2.55, -0.100966, -0.756063, 0, 3, 0, 0, 0, 0
-2.55, -0.0692609, -0.637737, 1, 3, 0, 0, 0, 0
-2.55, -0.0375556, -0.519411, 2, 3, 0, 0, 0, 0
-2.55, -0.00585023, -0.401086, 3, 3, 0, 0, 0, 0
-2.55, 0.0258551, -0.28276, 4, 3, 0, 0, 0, 0
-2.55, -0.0285218, -0.775475, 0, 4, 0, 0, 0, 0
-2.55, 0.00318354, -0.657149, 1, 4, 0, 0, 0, 0
-2.55, 0.0348889, -0.538823, 2, 4, 0, 0, 0, 0
-2.55, 0.0665942, -0.420497, 3, 4, 0, 0, 0, 0
-2.55, 0.0982995, -0.302171, 4, 4, 0, 0, 0, 0
-2.3, -0.3183, -0.697829, 0, 0, 1, 0, 0, 0
-2.3, -0.286594, -0.579503, 1, 0, 1, 0, 0, 0
-2.3, -0.254889, -0.461177, 2, 0, 1, 0, 0, 0
-2.3, -0.223184, -0.342851, 3, 0, 1, 0, 0, 0
-2.3, -0.191478, -0.224525, 4, 0, 1, 0, 0, 0
-2.3, -0.245855, -0.71724, 0, 1, 1, 0, 0, 0
-2.3, -0.21415, -0.598914, 1, 1, 1, 0, 0, 0
-2.3, -0.182444, -0.480589, 2, 1, 1, 0, 0, 0
-2.3, -0.150739, -0.362263, 3, 1, 1, 0, 0, 0
-2.3, -0.119034, -0.243937, 4, 1, 1, 0, 0, 0
-2.3, -0.173411, -0.736652, 0, 2, 1, 0, 0, 0
-2.3, -0.141705, -0.618326, 1, 2, 1, 0, 0, 0
-2.3, -0.11, -0.5, 2, 2, 1, 1, 1, 1
-2.3, -0.0782947, -0.381674, 3, 2, 1, 1, 1, 1
-2.3, -0.0465893, -0.263348, 4, 2, 1, 0, 0, 0
-2.3, -0.100966, -0.756063, 0, 3, 1, 0, 0, 0
-2.3, -0.0692609, -0.637737, 1, 3, 1, 0, 0, 0
-2.3, -0.0375556, -0.519411, 2, 3, 1, 0, 0, 0
-2.3, -0.00585023, -0.401086, 3, 3, 1, 0, 0, 0
-2.3, 0.0258551, -0.28276, 4, 3, 1, 0, 0, 0
-2.3, -0.0285218, -0.775475, 0, 4, 1, 0, 0, 0
-2.3, 0.00318354, -0.657149, 1, 4, 1, 0, 0, 0
-2.3, 0.0348889, -0.538823, 2, 4, 1, 0, 0, 0
-2.3, 0.0665942, -0.420497, 3, 4, 1, 0, 0, 0
-2.3, 0.0982995, -0.302171, 4, 4, 1, 0, 0, 0
-2.05, -0.3183, -0.697829, 0, 0, 2, 0, 0, 0
-2.05, -0.286594, -0.579503, 1, 0, 2, 0, 0, 0
-2.05, -0.254889, -0.461177, 2, 0, 2, 0, 0, 0
-2.05, -0.223184, -0.342851, 3, 0, 2, 0, 0, 0
-2.05, -0.191478, -0.224525, 4, 0, 2, 0, 0, 0
-2.05, -0.245855, -0.71724, 0, 1, 2, 0, 0, 0
-2.05, -0.21415, -0.598914, 1, 1, 2, 0, 0, 0
-2.05, -0.182444, -0.480589, 2, 1, 2, 0, 0, 0
-2.05, -0.150739, -0.362263, 3, 1, 2, 0, 0, 0
-2.05, -0.119034, -0.243937, 4, 1, 2, 0, 0, 0
-2.05, -0.173411, -0.736652, 0, 2, 2, 0, 0, 0
-2.05, -0.141705, -0.618326, 1, 2, 2, 0, 0, 0
-2.05, -0.11, -0.5, 2, 2, 2, 1, 1, 1
-2.05, -0.0782947, -0.381674, 3, 2, 2, 1, 1, 1
-2.05, -0.0465893, -0.263348, 4, 2, 2, 0, 0, 0
-2.05, -0.100966, -0.756063, 0, 3, 2, 0, 0, 0
-2.05, -0.0692609, -0.637737, 1, 3, 2, 0, 0, 0
-2.05, -0.0375556, -0.519411, 2, 3, 2, 0, 0, 0
-2.05, -0.00585023, -0.401086, 3, 3, 2, 0, 0, 0
-2.05, 0.0258551, -0.28276, 4, 3, 2, 0, 0, 0
-2.05, -0.0285218, -0.775475, 0, 4, 2, 0, 0, 0
-2.05, 0.00318354, -0.657149, 1, 4, 2, 0, 0, 0
-2.05, 0.0348889, -0.538823, 2, 4, 2, 0, 0, 0
-2.05, 0.0665942, -0.420497, 3, 4, 2, 0, 0, 0
-2.05, 0.0982995, -0.302171, 4, 4, 2, 0, 0, 0
-1.8, -0.3183, -0.697829, 0, 0, 3, 0, 0, 0
-1.8, -0.286594, -0.579503, 1, 0, 3, 0, 0, 0
-1.8, -0.254889, -0.461177, 2, 0, 3, 0, 0, 0
-1.8, -0.223184, -0.342851, 3, 0, 3, 0, 0, 0
-1.8, -0.191478, -0.224525, 4, 0, 3, 0, 0, 0
-1.8, -0.245855, -0.71724, 0, 1, 3, 0, 0, 0
-1.8, -0.21415, -0.598914, 1, 1, 3, 0, 0, 0
-1.8, -0.182444, -0.480589, 2, 1, 3, 0, 0, 0
-1.8, -0.150739, -0.362263, 3, 1, 3, 0, 0, 0
-1.8, -0.119034, -0.243937, 4, 1, 3, 0, 0, 0
-1.8, -0.173411, -0.736652, 0, 2, 3, 0, 0, 0
-1.8, -0.141705, -0.618326, 1, 2, 3, 0, 0, 0
-1.8, -0.11, -0.5, 2, 2, 3, 0, 0, 0
-1.8, -0.0782947, -0.381674, 3, 2, 3, 0, 0, 0
-1.8, -0.0465893, -0.263348, 4, 2, 3, 0, 0, 0
-1.8, -0.100966, -0.756063, 0, 3, 3, 0, 0, 0
-1.8, -0.0692609, -0.637737, 1, 3, 3, 0, 0, 0
-1.8, -0.0375556, -0.519411, 2, 3, 3, 0, 0, 0
-1.8, -0.00585023, -0.401086, 3, 3, 3, 0, 0, 0
-1.8, 0.0258551, -0.28276, 4, 3, 3, 0, 0, 0
-1.8, -0.0285218, -0.775475, 0, 4, 3, 0, 0, 0
-1.8, 0.00318354, -0.657149, 1, 4, 3, 0, 0, 0
-1.8, 0.0348889, -0.538823, 2, 4, 3, 0, 0, 0
-1.8, 0.0665942, -0.420497, 3, 4, 3, 0, 0, 0
-1.8, 0.0982995, -0.302171, 4, 4, 3, 0, 0, 0
-1.55, -0.3183, -0.697829, 0, 0, 4, 0, 0, 0
-1.55, -0.286594, -0.579503, 1, 0, 4, 0, 0, 0
-1.55, -0.254889, -0.461177, 2, 0, 4, 0, 0, 0
-1.55, -0.223184, -0.342851, 3, 0, 4, 0, 0, 0
-1.55, -0.191478, -0.224525, 4, 0, 4, 0, 0, 0
-1.55, -0.245855, -0.71724, 0, 1, 4, 0, 0, 0
-1.55, -0.21415, -0.598914, 1, 1, 4, 0, 0, 0
-1.55, -0.182444, -0.480589, 2, 1, 4, 0, 0, 0
-1.55, -0.150739, -0.362263, 3, 1, 4, 0, 0, 0
-1.55, -0.119034, -0.243937, 4, 1, 4, 0, 0, 0
-1.55, -0.173411, -0.736652, 0, 2, 4, 0, 0, 0
-1.55, -0.141705, -0.618326, 1, 2, 4, 0, 0, 0
-1.55, -0.11, -0.5, 2, 2, 4, 0, 0, 0
-1.55, -0.0782947, -0.381674, 3, 2, 4, 0, 0, 0
-1.55, -0.0465893, -0.263348, 4, 2, 4, 0, 0, 0
-1.55, -0.100966, -0.756063, 0, 3, 4, 0, 0, 0
-1.55, -0.0692609, -0.637737, 1, 3, 4, 0, 0, 0
-1.55, -0.0375556, -0.519411, 2, 3, 4, 0, 0, 0
-1.55, -0.00585023, -0.401086, 3, 3, 4, 0, 0, 0
-1.55, 0.0258551, -0.28276, 4, 3, 4, 0, 0, 0
-1.55, -0.0285218, -0.775475, 0, 4, 4, 0, 0, 0
-1.55, 0.00318354, -0.657149, 1, 4, 4, 0, 0, 0
-1.55, 0.0348889, -0.538823, 2, 4, 4, 0, 0, 0
-1.55, 0.0665942, -0.420497, 3, 4, 4, 0, 0, 0
-1.55, 0.0982995, -0.302171, 4, 4, 4, 0, 0, 0
